id,p1_poke1,p1_poke2,p1_poke3,p1_poke4,p1_poke5,p1_poke6,p2_poke1,p2_poke2,p2_poke3,p2_poke4,p2_poke5,p2_poke6,p1_choice,p2_choice
1457,Lucario,Tyranitar,Gastrodon,Landorus-Therian,Heatran,Latios,Xatu,Toxicroak,Lapras,Ferrothorn,Politoed,Garchomp,Tyranitar,Politoed
1458,Thundurus-Therian,Conkeldurr,Gyarados,Heatran,Ferrothorn,Latios,Haxorus,Ninetales,Volcarona,Jirachi,Porygon2,Donphan,Gyarados,Jirachi
1459,Toxicroak,Ferrothorn,Volcarona,Landorus-Therian,Starmie,Politoed,Thundurus-Therian,Excadrill,Celebi,Keldeo,Politoed,Latios,Landorus-Therian,Politoed
1460,Excadrill,Breloom,Zapdos,Kyurem-Black,Politoed,Keldeo-Resolute,Sableye,Tyranitar,Skarmory,Latias,Garchomp,Keldeo-Resolute,Breloom,Tyranitar
1461,Gengar,Conkeldurr,Hydreigon,Jirachi,Raikou,Garchomp,Breloom,Kyurem-Black,Ferrothorn,Jirachi,Politoed,Keldeo-Resolute,Conkeldurr,Politoed
1462,Forretress,Scizor,Victini,Latias,Dragonite,Jellicent,Forretress,Scizor,Abomasnow,Reuniclus,Garchomp,Latios,Forretress,Abomasnow
1463,Abomasnow,Salamence,Jirachi,Starmie,Mamoswine,Garchomp,Thundurus-Therian,Ferrothorn,Suicune,Tentacruel,Politoed,Latios,Abomasnow,Latios
1464,Xatu,Darmanitan,Ninetales,Victini,Infernape,Latios,Excadrill,Tyranitar,Gastrodon,Reuniclus,Ferrothorn,Latios,Infernape,Latios
1465,Xatu,Hydreigon,Ninetales,Victini,Heatran,Latios,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Xatu,Keldeo
1466,Tyranitar,Landorus-Therian,Reuniclus,Alakazam,Ferrothorn,Jellicent,Mew,Jirachi,Landorus-Therian,Starmie,Politoed,Dragonite,Landorus-Therian,Mew
1467,Excadrill,Tyranitar,Reuniclus,Heatran,Ferrothorn,Garchomp,Hippowdon,Bronzong,Skarmory,Latias,Reuniclus,Clefable,Tyranitar,Hippowdon
1468,Breloom,Scizor,Rotom-Wash,Jirachi,Politoed,Latios,Terrakion,Jirachi,Latias,Landorus-Therian,Alakazam,Garchomp,Politoed,Garchomp
1469,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Excadrill,Slowbro,Scrafty,Heatran,Amoonguss,Dragonite,Hippowdon,Heatran
1470,Slowking,Conkeldurr,Celebi,Victini,Porygon2,Reuniclus,Skarmory,Terrakion,Landorus-Therian,Heatran,Keldeo,Starmie,Conkeldurr,Skarmory
1471,Terrakion,Jirachi,Tornadus,Politoed,Keldeo-Resolute,Latios,Tentacruel,Bronzong,Ferrothorn,Salamence,Amoonguss,Politoed,Terrakion,Politoed
1472,Chansey,Cloyster,Wobbuffet,Garchomp,Donphan,Dragonite,Scizor,Rotom-Wash,Tyranitar,Jirachi,Latias,Garchomp,Garchomp,Rotom-Wash
1473,Magneton,Metagross,Latias,Garchomp,Keldeo-Resolute,Latios,Moltres,Arcanine,Hydreigon,Jirachi,Landorus-Therian,Starmie,Latios,Landorus-Therian
1474,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Excadrill,Gardevoir,Garchomp,Skarmory,Heracross,Lanturn,Breloom,Gardevoir
1475,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Excadrill,Tyranitar,Landorus-Therian,Alakazam,Garchomp,Latios,Breloom,Landorus-Therian
1476,Xatu,Forretress,Blissey,Clefable,Gliscor,Amoonguss,Xatu,Excadrill,Ninetales,Volcarona,Victini,Cresselia,Blissey,Volcarona
1477,Excadrill,Tyranitar,Keldeo,Gliscor,Amoonguss,Mamoswine,Thundurus-Therian,Scizor,Ferrothorn,Volcarona,Tentacruel,Politoed,Amoonguss,Scizor
1478,Riolu,Forretress,Gengar,Starmie,Politoed,Shedinja,Breloom,Rotom-Wash,Lucario,Weavile,Heatran,Keldeo-Resolute,Forretress,Heatran
1479,Excadrill,Breloom,Gengar,Volcarona,Azelf,Latios,Riolu,Forretress,Gengar,Starmie,Politoed,Shedinja,Azelf,Forretress
1480,Excadrill,Scizor,Kyurem-Black,Heatran,Keldeo,Heracross,Rotom-Wash,Tyranitar,Latios,Ferrothorn,Garchomp,Jellicent,Heracross,Latios
1481,Thundurus-Therian,Breloom,Jirachi,Keldeo,Tentacruel,Politoed,Alakazam,Tyranitar,Reuniclus,Gliscor,Ferrothorn,Latios,Jirachi,Latios
1482,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Xatu,Quagsire,Chansey,Sableye,Jirachi,Tentacruel,Tyranitar,Sableye
1483,Kyurem,Forretress,Breloom,Scizor,Salamence,Terrakion,Ferrothorn,Gyarados,Tornadus,Tentacruel,Politoed,Raikou,Forretress,Politoed
1484,Moltres,Forretress,Jirachi,Politoed,Espeon,Dragonite,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Latios,Forretress,Thundurus-Therian
1485,Excadrill,Rotom-Wash,Tyranitar,Amoonguss,Mamoswine,Garchomp,Scizor,Tyranitar,Swampert,Latias,Landorus-Therian,Ferrothorn,Garchomp,Scizor
1486,Bronzong,Conkeldurr,Tyranitar,Reuniclus,Infernape,Jellicent,Excadrill,Ninetales,Volcarona,Jirachi,Heatran,Latios,Infernape,Jirachi
1487,Gengar,Scizor,Mew,Toxicroak,Skarmory,Dragonite,Thundurus-Therian,Breloom,Jirachi,Tentacruel,Politoed,Keldeo-Resolute,Skarmory,Jirachi
1488,Chansey,Tangrowth,Landorus-Therian,Heatran,Starmie,Heracross,Excadrill,Magneton,Kyurem-Black,Salamence,Latias,Garchomp,Starmie,Excadrill
1489,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Zapdos,Terrakion,Jirachi,Parasect,Tentacruel,Politoed,Tyranitar,Politoed
1490,Forretress,Lucario,Tyranitar,Volcarona,Gyarados,Espeon,Xatu,Diglett,Jirachi,Tornadus,Politoed,Dragonite,Lucario,Jirachi
1491,Excadrill,Breloom,Salamence,Jirachi,Tornadus,Dragonite,Ferrothorn,Vaporeon,Jirachi,Politoed,Dragonite,Latios,Dragonite,Politoed
1492,Celebi,Gastrodon,Mienshao,Landorus-Therian,Heatran,Alakazam,Slowking,Bronzong,Aggron,Victini,Landorus-Therian,Dragonite,Mienshao,Landorus-Therian
1493,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Jellicent,Ludicolo,Scizor,Kabutops,Latias,Tornadus,Garchomp,Jellicent,Garchomp
1494,Breloom,Scizor,Salamence,Garchomp,Azelf,Dragonite,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Azelf,Garchomp
1495,Thundurus-Therian,Excadrill,Ferrothorn,Tornadus,Alakazam,Politoed,Scizor,Mew,Gliscor,Starmie,Mamoswine,Dragonite,Politoed,Mew
1496,Scizor,Magnezone,Tentacruel,Politoed,Whiscash,Latios,Octillery,Bronzong,Cofagrigus,Latias,Reuniclus,Marowak,Politoed,Bronzong
1497,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Heatran,Latios,Thundurus-Therian,Ferrothorn,Keldeo,Tentacruel,Politoed,Latios,Terrakion,Politoed
1498,Scizor,Jirachi,Landorus-Therian,Starmie,Politoed,Dragonite,Scizor,Rotom-Wash,Lucario,Garchomp,Weavile,Espeon,Landorus-Therian,Rotom-Wash
1499,Crawdaunt,Bronzong,Conkeldurr,Dusclops,Reuniclus,Marowak,Aerodactyl,Scizor,Mew,Volcarona,Scrafty,Cloyster,Bronzong,Mew
1500,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Riolu,Forretress,Gengar,Starmie,Politoed,Shedinja,Jirachi,Forretress
1501,Thundurus-Therian,Ferrothorn,Latias,Tornadus,Starmie,Politoed,Tyranitar,Skarmory,Landorus-Therian,Heatran,Alakazam,Jellicent,Politoed,Skarmory
1502,Thundurus-Therian,Ferrothorn,Keldeo,Tentacruel,Politoed,Latios,Tyranitar,Magnezone,Terrakion,Gliscor,Ferrothorn,Latios,Politoed,Tyranitar
1503,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Moltres,Tentacruel,Jirachi,Tornadus,Amoonguss,Politoed,Tyranitar,Tornadus
1504,Toxicroak,Ferrothorn,Gastrodon,Volcarona,Starmie,Politoed,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Ferrothorn,Tyranitar
1505,Thundurus-Therian,Volcarona,Terrakion,Jirachi,Tentacruel,Politoed,Politoed,Tornadus,Tentacruel,Ferrothorn,Keldeo-Resolute,Latios,Jirachi,Ferrothorn
1506,Thundurus-Therian,Scizor,Hydreigon,Jirachi,Starmie,Garchomp,Haxorus,Tyranitar,Skarmory,Alakazam,Garchomp,Keldeo-Resolute,Jirachi,Tyranitar
1507,Lucario,Ferrothorn,Latios,Tornadus,Mamoswine,Jellicent,Forretress,Venusaur,Ninetales,Latias,Dugtrio,Heatran,Mamoswine,Forretress
1508,Tyranitar,Landorus-Therian,Heatran,Keldeo,Ferrothorn,Latios,Scizor,Rotom-Wash,Volcarona,Landorus-Therian,Espeon,Dragonite,Landorus-Therian,Volcarona
1509,Aerodactyl,Gengar,Toxicroak,Kyurem-Black,Magnezone,Gliscor,Excadrill,Rotom-Wash,Celebi,Tyranitar,Terrakion,Landorus-Therian,Aerodactyl,Rotom-Wash
1510,Forretress,Abomasnow,Kyurem-Black,Vaporeon,Reuniclus,Heatran,Scizor,Tyranitar,Shaymin,Landorus-Therian,Sandslash,Jellicent,Forretress,Tyranitar
1511,Rotom-Wash,Tyranitar,Alakazam,Ferrothorn,Garchomp,Latios,Claydol,Victini,Gyarados,Tentacruel,Ferrothorn,Absol,Garchomp,Absol
1512,Ferrothorn,Gyarados,Starmie,Politoed,Garchomp,Latios,Breloom,Jirachi,Tornadus,Tentacruel,Politoed,Garchomp,Ferrothorn,Tornadus
1513,Tyranitar,Jirachi,Landorus-Therian,Kingdra,Garchomp,Latios,Mew,Tyranitar,Gliscor,Magnezone,Keldeo,Starmie,Latios,Mew
1514,Tyranitar,Magnezone,Landorus-Therian,Starmie,Ferrothorn,Latios,Tyranitar,Kyurem-Black,Gastrodon,Gyarados,Heatran,Starmie,Tyranitar,Gastrodon
1515,Excadrill,Zapdos,Tyranitar,Reuniclus,Ferrothorn,Latios,Excadrill,Ferrothorn,Tornadus,Keldeo,Politoed,Latios,Ferrothorn,Politoed
1516,Gengar,Rotom-Wash,Tyranitar,Reuniclus,Ferrothorn,Garchomp,Excadrill,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Latios,Tyranitar,Tyranitar
1517,Feraligatr,Ferrothorn,Hydreigon,Landorus-Therian,Politoed,Cobalion,Forretress,Hippowdon,Toxicroak,Umbreon,Hydreigon,Infernape,Hydreigon,Infernape
1518,Tyranitar,Skarmory,Gliscor,Jellicent,Alakazam,Latios,Haxorus,Ferrothorn,Jirachi,Keldeo,Politoed,Jellicent,Gliscor,Keldeo
1519,Kyurem-Black,Salamence,Magnezone,Jirachi,Garchomp,Latios,Chansey,Ferrothorn,Reuniclus,Gliscor,Tentacruel,Politoed,Jirachi,Tentacruel
1520,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Reuniclus,Latios,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Jirachi,Ferrothorn
1521,Aerodactyl,Kyurem-Black,Magnezone,Jirachi,Dragonite,Latios,Kyurem-Black,Jirachi,Landorus-Therian,Politoed,Keldeo-Resolute,Latios,Aerodactyl,Landorus-Therian
1522,Riolu,Forretress,Gengar,Starmie,Politoed,Shedinja,Mew,Tyranitar,Alakazam,Garchomp,Azelf,Latios,Forretress,Azelf
1523,Chansey,Celebi,Keldeo,Skarmory,Gliscor,Alakazam,Kyurem-Black,Magnezone,Jirachi,Reuniclus,Garchomp,Latios,Chansey,Jirachi
1524,Forretress,Venusaur,Heatran,Ninetales,Volcarona,Dugtrio,Tyranitar,Skarmory,Latias,Heatran,Gliscor,Jellicent,Forretress,Gliscor
1525,Sigilyph,Abomasnow,Jirachi,Starmie,Infernape,Walrein,Thundurus-Therian,Breloom,Terrakion,Jirachi,Starmie,Garchomp,Infernape,Breloom
1526,Thundurus-Therian,Scizor,Ferrothorn,Tentacruel,Politoed,Latios,Tyranitar,Tangrowth,Reuniclus,Gliscor,Ferrothorn,Latios,Thundurus-Therian,Latios
1527,Gengar,Skarmory,Heatran,Keldeo,Sharpedo,Latios,Gengar,Scizor,Skarmory,Starmie,Mamoswine,Dragonite,Skarmory,Starmie
1528,Kyurem-Black,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Kyurem,Abomasnow,Empoleon,Volcarona,Starmie,Mamoswine,Jirachi,Mamoswine
1529,Rotom-Wash,Tyranitar,Landorus-Therian,Reuniclus,Ferrothorn,Heracross,Kyurem,Forretress,Abomasnow,Heatran,Alakazam,Latios,Landorus-Therian,Forretress
1530,Gastrodon-East,Excadrill,Hippowdon,Sigilyph,Skarmory,Jirachi,Mew,Jynx,Whimsicott,Conkeldurr,Dragonite,Latios,Hippowdon,Whimsicott
1531,Tyranitar,Jirachi,Landorus-Therian,Kingdra,Garchomp,Latios,Chansey,Latias,Landorus-Therian,Reuniclus,Garchomp,Cloyster,Landorus-Therian,Garchomp
1532,Xatu,Tyranitar,Latias,Seismitoad,Ferrothorn,Latios,Scizor,Rotom-Wash,Tyranitar,Gliscor,Ferrothorn,Garchomp,Seismitoad,Tyranitar
1533,Tyranitar,Skarmory,Latias,Heatran,Amoonguss,Jellicent,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Skarmory,Tyranitar
1534,Breloom,Kyurem-Black,Jirachi,Politoed,Ferrothorn,Keldeo-Resolute,Zapdos,Bronzong,Conkeldurr,Gastrodon,Garchomp,Latios,Politoed,Latios
1535,Gothitelle,Forretress,Abomasnow,Weavile,Blissey,Landorus-Therian,Ferrothorn,Gyarados,Starmie,Politoed,Garchomp,Latios,Blissey,Latios
1536,Celebi,Ferrothorn,Terrakion,Landorus-Therian,Tentacruel,Politoed,Haxorus,Ninetales,Volcarona,Jirachi,Porygon2,Donphan,Tentacruel,Jirachi
1537,Tyranitar,Metagross,Terrakion,Landorus-Therian,Alakazam,Latios,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Metagross,Landorus-Therian
1538,Scizor,Tyranitar,Darmanitan,Latias,Landorus-Therian,Keldeo,Thundurus-Therian,Scizor,Toxicroak,Rotom-Wash,Ferrothorn,Politoed,Latias,Politoed
1539,Gengar,Lucario,Skarmory,Salamence,Starmie,Dragonite,Kyurem-Black,Metagross,Magnezone,Landorus-Therian,Garchomp,Latios,Skarmory,Magnezone
1540,Bronzong,Rotom-Wash,Tyranitar,Latias,Gliscor,Latios,Thundurus-Therian,Bisharp,Keldeo,Starmie,Garchomp,Dragonite,Tyranitar,Thundurus-Therian
1541,Excadrill,Tyranitar,Terrakion,Ferrothorn,Slowbro,Latios,Scizor,Tyranitar,Magnezone,Latias,Garchomp,Slowbro,Ferrothorn,Scizor
1542,Excadrill,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Garchomp,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Landorus-Therian,Ferrothorn
1543,Omastar,Conkeldurr,Gyarados,Jirachi,Dugtrio,Latios,Druddigon,Swampert,Tangrowth,Latias,Reuniclus,Clefable,Dugtrio,Tangrowth
1544,Thundurus-Therian,Ferrothorn,Keldeo,Tentacruel,Politoed,Latios,Scizor,Kyurem-Black,Salamence,Jirachi,Landorus-Therian,Starmie,Politoed,Jirachi
1545,Forretress,Breloom,Volcarona,Jirachi,Seismitoad,Politoed,Thundurus-Therian,Breloom,Jirachi,Latias,Starmie,Politoed,Volcarona,Jirachi
1546,Thundurus-Therian,Scizor,Ferrothorn,Starmie,Politoed,Latios,Breloom,Toxicroak,Lucario,Conkeldurr,Terrakion,Keldeo,Latios,Terrakion
1547,Breloom,Volcarona,Jirachi,Azelf,Cloyster,Latios,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Heatran,Latios,Jirachi,Landorus-Therian
1548,Tyranitar,Magnezone,Terrakion,Gliscor,Ferrothorn,Latios,Tyranitar,Landorus-Therian,Reuniclus,Alakazam,Ferrothorn,Latios,Gliscor,Reuniclus
1549,Excadrill,Tyranitar,Heatran,Gliscor,Ferrothorn,Latios,Bronzong,Hippowdon,Skarmory,Latias,Clefable,Latios,Gliscor,Hippowdon
1550,Breloom,Jirachi,Landorus-Therian,Starmie,Politoed,Keldeo-Resolute,Thundurus-Therian,Scizor,Toxicroak,Ferrothorn,Politoed,Latios,Starmie,Scizor
1551,Thundurus-Therian,Excadrill,Ferrothorn,Keldeo,Politoed,Latios,Venusaur,Chansey,Skarmory,Bisharp,Heatran,Keldeo-Resolute,Latios,Keldeo-Resolute
1552,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Breloom,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Alakazam,Ferrothorn,Landorus-Therian
1553,Starmie,Ferrothorn,Hydreigon,Gastrodon,Tentacruel,Politoed,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Garchomp,Politoed,Jirachi
1554,Ferrothorn,Azumarill,Starmie,Politoed,Garchomp,Latios,Celebi,Ferrothorn,Terrakion,Landorus-Therian,Tentacruel,Politoed,Ferrothorn,Landorus-Therian
1555,Excadrill,Tyranitar,Skarmory,Volcarona,Amoonguss,Slowbro,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Skarmory,Politoed
1556,Slowking,Tyranitar,Skarmory,Hydreigon,Alakazam,Garchomp,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Skarmory,Politoed
1557,Kyurem-Black,Salamence,Magnezone,Jirachi,Alakazam,Garchomp,Excadrill,Breloom,Jirachi,Politoed,Ferrothorn,Keldeo-Resolute,Jirachi,Politoed
1558,Scizor,Abomasnow,Victini,Landorus-Therian,Keldeo,Starmie,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Scizor,Tyranitar
1559,Rotom-Wash,Tyranitar,Terrakion,Heatran,Ferrothorn,Latios,Ditto,Gengar,Mew,Abomasnow,Suicune,Liepard,Latios,Suicune
1560,Tyranitar,Landorus-Therian,Reuniclus,Alakazam,Ferrothorn,Jellicent,Toxicroak,Celebi,Tyranitar,Jirachi,Gliscor,Politoed,Landorus-Therian,Gliscor
1561,Kyurem-Black,Metagross,Magnezone,Landorus-Therian,Garchomp,Latios,Moltres,Toxicroak,Jirachi,Landorus-Therian,Starmie,Politoed,Garchomp,Politoed
1562,Thundurus-Therian,Scizor,Ferrothorn,Keldeo,Starmie,Politoed,Scizor,Abomasnow,Starmie,Mamoswine,Garchomp,Dragonite,Scizor,Abomasnow
1563,Hippowdon,Skarmory,Reuniclus,Clefable,Gliscor,Latios,Excadrill,Hippowdon,Scizor,Tangrowth,Blissey,Slowbro,Latios,Slowbro
1564,Tyranitar,Skarmory,Gliscor,Jellicent,Alakazam,Latios,Excadrill,Breloom,Ninetales,Landorus-Therian,Heatran,Latios,Gliscor,Ninetales
1565,Politoed,Keldeo,Starmie,Ferrothorn,Garchomp,Latios,Ferrothorn,Jirachi,Tornadus,Tentacruel,Politoed,Latios,Ferrothorn,Latios
1566,Forretress,Lanturn,Rotom-Wash,Whimsicott,Mienshao,Flygon,Lucario,Conkeldurr,Terrakion,Keldeo,Scrafty,Infernape,Mienshao,Infernape
1567,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Garchomp,Latios,Ferrothorn,Gyarados,Tentacruel,Politoed,Keldeo-Resolute,Latios,Rotom-Wash,Gyarados
1568,Crawdaunt,Gallade,Gyarados,Jirachi,Scrafty,Dragonite,Excadrill,Tyranitar,Mienshao,Ferrothorn,Dragonite,Latios,Jirachi,Mienshao
1569,Xatu,Abomasnow,Kyurem-Black,Mienshao,Landorus-Therian,Jellicent,Bronzong,Gallade,Conkeldurr,Reuniclus,Dragonite,Jellicent,Mienshao,Bronzong
1570,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Scizor,Dragonite,Terrakion,Starmie,Azelf,Cloyster,Tyranitar,Azelf
1571,Excadrill,Dusclops,Tyranitar,Metagross,Landorus-Therian,Latios,Kyurem-Black,Magnezone,Jirachi,Reuniclus,Garchomp,Latios,Metagross,Kyurem-Black
1572,Aerodactyl,Scizor,Cloyster,Starmie,Dragonite,Latios,Aerodactyl,Conkeldurr,Lucario,Cloyster,Starmie,Dragonite,Cloyster,Aerodactyl
1573,Alakazam,Scizor,Virizion,Milotic,Donphan,Dragonite,Toxicroak,Ferrothorn,Volcarona,Keldeo,Tentacruel,Politoed,Virizion,Politoed
1574,Thundurus-Therian,Ferrothorn,Keldeo,Tentacruel,Politoed,Latios,Scizor,Tyranitar,Landorus-Therian,Reuniclus,Ferrothorn,Slowbro,Ferrothorn,Tyranitar
1575,Excadrill,Scizor,Volcarona,Landorus-Therian,Kingdra,Dragonite,Thundurus-Therian,Ferrothorn,Keldeo,Tentacruel,Politoed,Latios,Landorus-Therian,Politoed
1576,Excadrill,Tyranitar,Skarmory,Alakazam,Mamoswine,Jellicent,Tyranitar,Skarmory,Gastrodon,Latias,Reuniclus,Heatran,Jellicent,Tyranitar
1577,Skarmory,Politoed,Blissey,Jirachi,Tentacruel,Ferrothorn,Thundurus-Therian,Conkeldurr,Dusclops,Kyurem-Black,Landorus-Therian,Keldeo,Ferrothorn,Landorus-Therian
1578,Scizor,Tyranitar,Landorus-Therian,Keldeo,Garchomp,Latios,Scizor,Mew,Swampert,Shaymin,Espeon,Dragonite,Landorus-Therian,Swampert
1579,Starmie,Chansey,Sableye,Skarmory,Amoonguss,Garchomp,Kyurem-Black,Victini,Mienshao,Landorus-Therian,Virizion,Jellicent,Garchomp,Kyurem-Black
1580,Excadrill,Jirachi,Starmie,Politoed,Keldeo-Resolute,Dragonite,Excadrill,Breloom,Scizor,Rotom-Wash,Landorus-Therian,Latios,Jirachi,Rotom-Wash
1581,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Garchomp,Jellicent,Rotom-Wash
1582,Thundurus-Therian,Kyurem-Black,Jirachi,Keldeo,Politoed,Donphan,Ferrothorn,Jirachi,Blissey,Gliscor,Tentacruel,Politoed,Politoed,Politoed
1583,Breloom,Gengar,Ferrothorn,Gyarados,Starmie,Politoed,Scizor,Skarmory,Salamence,Landorus-Therian,Starmie,Latios,Gyarados,Scizor
1584,Gastrodon-East,Rotom-Wash,Ferrothorn,Tornadus,Tentacruel,Politoed,Breloom,Hydreigon,Magnezone,Garchomp,Donphan,Dragonite,Tornadus,Breloom
1585,Excadrill,Rotom-Wash,Kyurem-Black,Gliscor,Mamoswine,Latios,Thundurus-Therian,Conkeldurr,Gyarados,Heatran,Ferrothorn,Latios,Rotom-Wash,Ferrothorn
1586,Excadrill,Tyranitar,Skarmory,Landorus-Therian,Amoonguss,Latios,Breloom,Scizor,Weavile,Starmie,Garchomp,Latios,Latios,Garchomp
1587,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Politoed,Tyranitar
1588,Rotom-Wash,Tyranitar,Mienshao,Jirachi,Keldeo,Garchomp,Breloom,Kyurem-Black,Ferrothorn,Jirachi,Politoed,Keldeo-Resolute,Keldeo,Ferrothorn
1589,Haxorus,Breloom,Ninetales,Volcarona,Donphan,Froslass,Tyranitar,Metagross,Terrakion,Landorus-Therian,Alakazam,Latios,Froslass,Metagross
1590,Thundurus-Therian,Scizor,Toxicroak,Rotom-Wash,Ferrothorn,Politoed,Toxicroak,Ferrothorn,Gastrodon,Volcarona,Starmie,Politoed,Politoed,Ferrothorn
1591,Thundurus-Therian,Ferrothorn,Tornadus,Tentacruel,Politoed,Garchomp,Scizor,Kyurem-Black,Skarmory,Alakazam,Garchomp,Jellicent,Politoed,Skarmory
1592,Forretress,Jirachi,Latias,Jolteon,Heatran,Latios,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Latios,Jirachi
1593,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Forretress,Tyranitar,Blissey,Reuniclus,Gliscor,Jellicent,Abomasnow,Blissey
1594,Thundurus-Therian,Ferrothorn,Starmie,Politoed,Garchomp,Latios,Excadrill,Hippowdon,Scizor,Rotom-Wash,Terrakion,Latios,Garchomp,Latios
1595,Thundurus-Therian,Politoed,Keldeo,Tentacruel,Ferrothorn,Latios,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Keldeo,Ferrothorn
1596,Conkeldurr,Hydreigon,Cofagrigus,Porygon2,Starmie,Donphan,Alakazam,Tyranitar,Skarmory,Gastrodon,Reuniclus,Gliscor,Hydreigon,Gliscor
1597,Tyranitar,Skarmory,Volcarona,Latias,Starmie,Garchomp,Scizor,Tyranitar,Skarmory,Volcarona,Starmie,Amoonguss,Volcarona,Starmie
1598,Kyurem,Excadrill,Abomasnow,Jirachi,Mamoswine,Jellicent,Salamence,Mienshao,Meloetta,Jirachi,Raikou,Garchomp,Jirachi,Jirachi
1599,Toxicroak,Ferrothorn,Politoed,Starmie,Mamoswine,Keldeo-Resolute,Tyranitar,Skarmory,Mienshao,Landorus-Therian,Keldeo,Latios,Keldeo-Resolute,Mienshao
1600,Scizor,Rotom-Wash,Tyranitar,Alakazam,Garchomp,Jellicent,Hippowdon,Kyurem-Black,Skarmory,Rotom-Heat,Mamoswine,Latios,Rotom-Wash,Rotom-Heat
1601,Thundurus-Therian,Kyurem-Black,Terrakion,Jirachi,Keldeo,Dragonite,Tyranitar,Latios,Heatran,Tentacruel,Ferrothorn,Jellicent,Terrakion,Ferrothorn
1602,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Celebi,Metagross,Landorus-Therian,Keldeo,Politoed,Latios,Jirachi,Landorus-Therian
1603,Magnezone,Jirachi,Latias,Reuniclus,Garchomp,Latios,Thundurus-Therian,Excadrill,Celebi,Keldeo,Politoed,Dragonite,Jirachi,Politoed
1604,Chansey,Cloyster,Wobbuffet,Garchomp,Donphan,Dragonite,Thundurus-Therian,Ferrothorn,Tornadus,Landorus-Therian,Tentacruel,Politoed,Wobbuffet,Politoed
1605,Ninetales,Volcarona,Gyarados,Jolteon,Donphan,Dragonite,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Donphan,Hippowdon
1606,Forretress,Quagsire,Blissey,Amoonguss,Mandibuzz,Slowbro,Kyurem,Celebi,Jirachi,Landorus-Therian,Tentacruel,Politoed,Slowbro,Politoed
1607,Gengar,Salamence,Volcarona,Mienshao,Jirachi,Scrafty,Gothitelle,Scizor,Skarmory,Hydreigon,Heatran,Alakazam,Gengar,Skarmory
1608,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Alakazam,Bronzong,Rotom-Wash,Gliscor,Ferrothorn,Latios,Tyranitar,Gliscor
1609,Excadrill,Toxicroak,Politoed,Tornadus,Keldeo,Ferrothorn,Ninetales,Volcarona,Jirachi,Porygon2,Donphan,Latios,Tornadus,Jirachi
1610,Excadrill,Breloom,Salamence,Jirachi,Tornadus,Dragonite,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Jellicent,Dragonite,Tyranitar
